ID;Hidrometro;Matricula;Situacao;Categoria;Setor de Planejamento DPAE;Setor de Planejamento DPAE - Descrição;Setor de Abastecimento CGA;Setor de Abastecimento CGA_1;Cidade;Campus;Local;Observacao ;Num Hidrometro;Cobranca;Ligacao rede de esgoto;Identificacao;Concessionaria;Consumo médio dos últimos 6 meses (m3) - ref 9_2024;Atualizacao_Cadastro
11;H011;8149615;Ativo;Medidor faturado pela UFSC;Setor 01;Prefeitura;Setor 01;SubSetor 01.06;Florianópolis - Trindade;Trindade;CCB - Blocos A, B, C e D - 1 - Córrego Grande;Fatura centralizada;C11C005249;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;294,83;15/10/2024
12;H012;6297854;Ativo;Medidor não faturado pela UFSC;Setor 01;Prefeitura;Setor 01;SubSetor 01.14;Florianópolis - Trindade;Trindade;SINTUFSC;Fatura Individual;;Água e Esgoto;Sim;Sem informação;CASAN;;15/10/2024
13;H014;2296969;Ativo;Medidor não faturado pela UFSC;Setor 02;Saúde;Setor 02;SubSetor 02.01;Florianópolis  HU;Trindade;Hospital Universitário - EBSERH;Fatura Individual;J15AA00002;Água e Esgoto;Sim;15.126.437/0034-01;CASAN;6096;15/10/2024
14;H015;2296918;Ativo;Medidor faturado pela UFSC;Setor 06;Econômico-Jurídico;Setor 06;SubSetor 06.01;Florianópolis - Trindade;Trindade;Moradia Estudantil - Casa;Fatura centralizada;B10C013878;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;0;15/10/2024
15;H017;2296950;Ativo;Medidor faturado pela UFSC;Setor 02;Saúde;Setor 02;SubSetor 02.02;Florianópolis - Trindade;Trindade;CCS - Centro de Ciências da Saúde;Fatura centralizada;C11C001906;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;469;15/10/2024
16;H018;2296640;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.09;Florianópolis - Trindade;Trindade;SSI - Secretaria de Assuntos Institucionais;Fatura centralizada;A13C043935;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;32,33;15/10/2024
17;H019;9097821;Ativo;Medidor faturado pela UFSC;Setor 06;Econômico-Jurídico;Setor 06;SubSetor 06.07;Florianópolis - Trindade;Trindade;CSE 2 - CSE 9 e 10 (Bl F e G);Fatura centralizada;C11C005250;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;113,17;15/10/2024
18;H020;2296829;Ativo;Medidor faturado pela UFSC;Setor 06;Econômico-Jurídico;Setor 06;SubSetor 06.06;Florianópolis - Trindade;Trindade;CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F);Fatura centralizada;C11C009540;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;34,83;15/10/2024
19;H021;2296632;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.08;Florianópolis - Trindade;Trindade;Igrejinha UFSC (DAC 01 a 03 e DEX01);Fatura centralizada;B10C001813;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;73;15/10/2024
20;H022;8862400;Ativo;Medidor não faturado pela UFSC;Setor 06;Econômico-Jurídico;Setor 06;SubSetor 06.04;Florianópolis - Trindade;Trindade;Fórum;Fatura Individual;;Água e Esgoto;Sim;Sem informação;CASAN;;15/10/2024
21;H023;2296934;Ativo;Medidor faturado pela UFSC;Setor 06;Econômico-Jurídico;Setor 06;SubSetor 06.02;Florianópolis - Trindade;Trindade;Associação Volantes 1;Fatura centralizada;B10C010114;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;64,83;15/10/2024
22;H024;2296926;Ativo;Medidor faturado pela UFSC;Setor 06;Econômico-Jurídico;Setor 06;SubSetor 06.03;Florianópolis - Trindade;Trindade;Associação Volantes 2;Fatura centralizada;A96C161864;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;0,17;15/10/2024
23;H025;2296900;Ativo;Medidor faturado pela UFSC;Setor 07;Exatas;Setor 07;SubSetor 07.02;Florianópolis - Trindade;Trindade;CFM  Bloco A;Fatura centralizada;C11C001273;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;633,17;15/10/2024
24;H026;9912770;Ativo;Medidor faturado pela UFSC;Setor 07;Exatas;Setor 07;SubSetor 07.01;Florianópolis - Trindade;Trindade;CFM  Bloco B;Fatura centralizada;A10C023447;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;39,67;15/10/2024
25;H027;16701186;Ativo;Medidor faturado pela UFSC;Setor 08;Colégio de Aplicação;Setor 08;SubSetor 08.01;Florianópolis - Trindade;Trindade;Colégio de Aplicação;Fatura centralizada;C11C009484;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;410;15/10/2024
26;H028;6205615;Ativo;Medidor faturado pela UFSC;Setor 08;Colégio de Aplicação;Setor 08;SubSetor 08.02;Florianópolis - Trindade;Trindade;Nativas do Horto Botânico;Fatura centralizada;B10C017964;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;34,67;15/10/2024
27;H029;7297220;Ativo;Medidor faturado pela UFSC;Setor 10;Moradia Estudantil;Setor 10;SubSetor 10.02;Florianópolis - Trindade;Trindade;Moradia Estudantil - Portaria;Fatura centralizada;A08X051927;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;5,83;15/10/2024
28;H030;2296276;Ativo;Medidor faturado pela UFSC;Setor 10;Moradia Estudantil;Setor 10;SubSetor 10.01;Florianópolis - Trindade;Trindade;Moradia Estudantil;Fatura centralizada;E11C000101;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;1516,5;15/10/2024
29;H032;2296659;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.02;Florianópolis - Trindade;Trindade;Biblioteca Central;Fatura centralizada;C11C001576;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;233,83;15/10/2024
30;H033;2296667;Ativo;Medidor faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.04;Florianópolis - Trindade;Trindade;CTC - Salas de Aula, Eng. Elétrica, Produção - CTC 1 ao 5, ;Fatura centralizada;B10C014063;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;165,5;15/10/2024
31;H034;8416621;Ativo;Medidor faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.05;Florianópolis - Trindade;Trindade;CTC - Eng. Sanitária e Amb. - CTC 12 e 37;Fatura centralizada;B10C014069;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;168,17;15/10/2024
32;H035;2296845;Ativo;Medidor faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.03;Florianópolis - Trindade;Trindade;CTC - Eng. Elétrica INEP - CTC 06;Fatura centralizada;B10C022164;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;12,33;15/10/2024
33;H037;6435548;Ativo;Medidor faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.02;Florianópolis - Trindade;Trindade;CTC - Eng. Mecânica - CTC 9, 10 e 37;Fatura centralizada;Y13F347112;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;207,17;15/10/2024
34;H038;2296683;Ativo;Medidor faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.06;Florianópolis - Trindade;Trindade;CTC - Eng. Mecânica CTC 11 Bloco B (Pavilhão) e CTC 31 INE;Fatura centralizada;B10C014806;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;259,17;15/10/2024
35;H039;8400385;Ativo;Medidor não faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.03;Florianópolis - Trindade;Trindade;FAPEU;Fatura Individual;;Água e Esgoto;Sim;Sem informação;CASAN;;15/10/2024
36;H040;2296691;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.01;Florianópolis - Trindade;Trindade;Reitoria I;Fatura centralizada;C11C000642;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;115,33;15/10/2024
37;H041;2296810;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.04;Florianópolis - Trindade;Trindade;CCE 1  Básico;Fatura centralizada;C11C010608;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;309,67;15/10/2024
38;H042;2296802;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 09;SubSetor 09.03;Florianópolis - Trindade;Trindade;CCE 2  R. Eng. Andrey C. Ferreira;Fatura centralizada;C11C001909;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;479,33;15/10/2024
39;H043;6816860;Ativo;Medidor faturado pela UFSC;Setor 09;Renovação;Setor 09;SubSetor 09.04;Florianópolis - Trindade;Trindade;Casa de Veg.  Depto. de Microbiologia;Fatura centralizada;A94S171408;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;4,33;15/10/2024
40;H044;2296896;Ativo;Medidor faturado pela UFSC;Setor 09;Renovação;Setor 09;SubSetor 09.01;Florianópolis - Trindade;Trindade;CFM Oceanografia e entorno;Fatura centralizada;C11C001908;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;73,5;15/10/2024
41;H045;2296772;Ativo;Medidor faturado pela UFSC;Setor 05;Humanidades;Setor 05;SubSetor 05.01;Florianópolis - Trindade;Trindade;Museologia e MArquE (MU01, MU10 e CFH09);Fatura centralizada;;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;309,83;15/10/2024
42;H046;2296780;Ativo;Medidor faturado pela UFSC;Setor 05;Humanidades;Setor 05;SubSetor 05.02;Florianópolis - Trindade;Trindade;CCB Botânica;Fatura centralizada;B10C017966;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;137,33;15/10/2024
43;H047;2296837;Ativo;Medidor faturado pela UFSC;Setor 05;Humanidades;Setor 05;SubSetor 05.03;Florianópolis - Trindade;Trindade;NDI e MArquE;Fatura centralizada;C11C009598;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;66;15/10/2024
44;H048;2296764;Ativo;Medidor faturado pela UFSC;Setor 05;Humanidades;Setor 05;SubSetor 05.04;Florianópolis - Trindade;Trindade;Centro de Filosofia e Humanas 1;Fatura centralizada;C11C001910;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;621;15/10/2024
45;H049;9197478;Ativo;Medidor faturado pela UFSC;Setor 05;Humanidades;Setor 05;SubSetor 05.05;Florianópolis - Trindade;Trindade;Centro de Educação 1;Fatura centralizada;B10C019220;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;89,5;15/10/2024
46;H050;2296748;Ativo;Medidor faturado pela UFSC;Setor 05;Humanidades;Setor 05;SubSetor 05.06;Florianópolis - Trindade;Trindade;Centro de Educação 2;Fatura centralizada;A13C020929;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;259;15/10/2024
47;H051;2296756;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.05;Florianópolis - Trindade;Trindade;Centro de Convivência;Fatura centralizada;A13C043944;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;0;15/10/2024
48;H052;2296730;Desativado 03/2016;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.06;Florianópolis - Trindade;Trindade;Restaurante Universitário 1;Fatura Individual;A99S330478;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;;15/10/2024
49;H053;2296713;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.07;Florianópolis - Trindade;Trindade;Centro de Eventos, NUMA, Editora UFSC, EGC;Fatura centralizada;C11C010440;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;331,83;15/10/2024
50;H054;6923020;Ativo;Medidor faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.07;Florianópolis - Trindade;Trindade;Arquitetura e Urbanismo;Fatura centralizada;B17C002561;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;276,67;15/10/2024
51;H055;2296705;Ativo;Medidor faturado pela UFSC;Setor 04;Desportivo;Setor 04;SubSetor 04.00;Florianópolis - Trindade;Trindade;Centro de Desportos;Fatura centralizada;G15AA00021;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;1475,33;15/10/2024
52;H056;2296721;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.06;Florianópolis - Trindade;Trindade;Restaurante Universitário 2;Fatura centralizada;E11C000742;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;2575,33;15/10/2024
53;H057;2297108;Ativo;Medidor faturado pela UFSC;Setor 01;Prefeitura;Setor 01;SubSetor 01.11;Florianópolis - Trindade;Trindade;PU - Prefeitura Universitária - Oficina, Serralheria e Mecânica (PU11);Fatura centralizada;A95L322012;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;96,67;15/10/2024
54;H058;9611070;Ativo;Medidor faturado pela UFSC;Setor 01;Prefeitura;Setor 01;SubSetor 01.07;Florianópolis - Trindade;Trindade;CCB - Blocos A, B, C e D - 2 - Córrego Grande;Fatura centralizada;C11C005856;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;532,33;15/10/2024
55;H059;2296675;Ativo;Medidor faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.01;Florianópolis - Trindade;Trindade;CTC - Setic e Almoxarifado (CTC 8 e 14);Fatura centralizada;A13C020930;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;9,5;15/10/2024
56;H060;5329663;Ativo;Medidor faturado pela UFSC;Setor 00;Eixo Central;Setor 00;SubSetor 00.10;Florianópolis - Trindade;Trindade;Reitoria II;Fatura centralizada;A13C021299;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;240,17;15/10/2024
57;H061;2296870;Ativo;Medidor faturado pela UFSC;Setor 09;Renovação;Setor 09;SubSetor 09.02;Florianópolis - Trindade;Trindade;CCB Anatômico;Fatura centralizada;B10C013871;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;23,33;15/10/2024
58;H062;15023672;Ativo;Medidor faturado pela UFSC;Setor 09;Renovação;Setor 09;SubSetor 09.05;Florianópolis - Trindade;Trindade;CFM  Bloco EFI;Fatura centralizada;C11C010415;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;506,83;15/10/2024
59;H063;8526290;Ativo;Medidor não faturado pela UFSC;Setor 06;Econômico-Jurídico;Setor 06;SubSetor 06.05;Florianópolis - Trindade;Trindade;FEPESE;Fatura Individual;;Água e Esgoto;Sim;Sem informação;CASAN;;15/10/2024
60;H064;;Ativo;Medidor não faturado pela UFSC;Setor 03;Tecnológico;Setor 03;SubSetor 03.08;Florianópolis - Trindade;Trindade;Fundação CERTI;Fatura Individual;;Água e Esgoto;Sim;Sem informação;CASAN;;15/10/2024
61;H065;12813443;Ativo;Medidor não faturado pela UFSC;Setor 02;Saúde;Setor 02;SubSetor 02.03;Florianópolis - Trindade;Trindade;CAIXA;Fatura Individual;;Água e Esgoto;Sim;Sem informação;CASAN;;15/10/2024
62;H066;17091764;Ativo;Medidor faturado pela UFSC;Setor 01;Prefeitura;Setor 01;SubSetor01.15;Florianópolis - Trindade;Trindade;CCB - Blocos E, F e G e Biotério (BIC 12);Fatura centralizada;F11C000153;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;344,67;15/10/2024
63;H072;2297167;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Itacorubi;Setor 11;SubSetor 11.01;Florianópolis - Outros;CCA - Itacorubi;CCA 1;Fatura centralizada;B10C017343;Água;Não;83.899.526/0001-82;CASAN;717,67;15/10/2024
64;H073;2297175;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Itacorubi;Setor 11;SubSetor 11.02;Florianópolis - Outros;CCA - Itacorubi;CCA  Estação Experimental de Aquicultura;Fatura centralizada;A05S578217;Água;Não;83.899.526/0001-82;CASAN;102,33;15/10/2024
65;H074;2297183;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Itacorubi;Setor 11;SubSetor 11.01;Florianópolis - Outros;CCA - Itacorubi;CCA 2;Fatura centralizada;C11C010252;Água;Não;83.899.526/0001-82;CASAN;750;15/10/2024
66;H076;2297361;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Cidade das Abelhas ;Setor 16;SubSetor 16.00;Florianópolis - Outros;CCA - Cidade das Abelhas ;Cidade das Abelhas  Rod. Virgílio Várzea, 2600;Fatura centralizada;A10C001421;Água;Não;83.899.526/0001-82;CASAN;30,33;15/10/2024
67;H081;2295652;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;SEAD - TV UFSC;Setor 13;SubSetor 13.01;Florianópolis - Outros;SEAD - TV UFSC;Rua Presidente Coutinho;Fatura centralizada;B17C002628;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;59,83;15/10/2024
68;H082;5716594;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Tapera;Setor 18;SubSetor 18.00;Florianópolis - Outros;CCA - Tapera;CCA Tapera - Fazenda Experimental da Ressacada;Fatura centralizada;C11C010040;Água;Não;83.899.526/0001-82;CASAN;460,83;15/10/2024
69;H083;6997937;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;Casa da Arte;Setor 13;SubSetor 13.03;Florianópolis - Outros;Casa da Arte;Casa da Arte;Fatura centralizada;A16S368708;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;4,5;15/10/2024
70;H084;9197419;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Barra da Lagoa - EMEB-AQI;Setor 12;SubSetor 12.00;Florianópolis - Outros;CCA - Barra da Lagoa - EMEB-AQI;LMM Área de produção;Fatura centralizada;B11C024230;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;330,67;15/10/2024
71;H085;12791172;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;SECARTE - Praia do Forte;Setor 17;SubSetor 17.00;Florianópolis - Outros;SECARTE - Praia do Forte;Fortaleza de São José da Ponta Grossa;Fatura centralizada;Y11C048501;Água;Não;83.899.526/0001-82;CASAN;25,33;15/10/2024
72;H086;12799408;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;UFSC  Jurerê;Setor 14;SubSetor 14.00;Florianópolis - Outros;UFSC  Jurerê;UFSC  Jurerê;Fatura centralizada;Y11C056745;Água;Não;83.899.526/0001-82;CASAN;1,17;15/10/2024
73;H087;13018540;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;UFSC  Sambaqui;Setor 15;SubSetor 15.00;Florianópolis - Outros;UFSC  Sambaqui;UFSC  Sambaqui;Fatura centralizada;A06S080329;Água;Não;83.899.526/0001-82;CASAN;53,17;15/10/2024
74;H088;2294605;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;Casa Vida e Saúde;Setor 13;SubSetor 13.02;Florianópolis - Outros;Casa Vida e Saúde;Casa Vida e Saúde;Fatura centralizada;Y11C073654;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;2,17;15/10/2024
75;H089;2347660;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Barra da Lagoa - EMEB-AQI;Setor 12;SubSetor 12.00;Florianópolis - Outros;CCA - Barra da Lagoa - EMEB-AQI;LAPOM, LAPMAR, LCM, LCA;Fatura centralizada;B17C007633;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;311,67;15/10/2024
76;H090;2347679;Ativo;Medidor faturado pela UFSC;Florianópolis - Outros;CCA - Barra da Lagoa - EMEB-AQI;Setor 12;SubSetor 12.00;Florianópolis - Outros;CCA - Barra da Lagoa - EMEB-AQI;LMM - Guarita, convivência, oficina e escritórios;Fatura centralizada;A15C030480;Água e Esgoto;Sim;83.899.526/0001-82;CASAN;37,67;15/10/2024
77;H100;2134608;Desativado 03/2018;Medidor faturado pela UFSC;Joinville;Joinville;Setor 23;SubSetor 23.01;Joinville;Joinville;Desativado - R. Pres. Prud. De Moraes  Joinville;Fatura Individual;;Água e Esgoto;Sim;83.899.526/0001-82;ÁGUAS DE JOINVILLE;;15/10/2024
78;H101;2141582;Desativado 03/2018;Medidor faturado pela UFSC;Joinville;Joinville;Setor 23;SubSetor 23.02;Joinville;Joinville;Desativado - R. João Vogelsanger, 108  Joinville;Fatura Individual;;Água e Esgoto;Sim;83.899.526/0001-82;ÁGUAS DE JOINVILLE;;15/10/2024
79;H102;2278022;Desativado 03/2018;Medidor faturado pela UFSC;Joinville;Joinville;Setor 23;SubSetor 23.03;Joinville;Joinville;Desativado - R. João Colin (1)  Joinville;Fatura Individual;;Água e Esgoto;Sim;83.899.526/0001-82;ÁGUAS DE JOINVILLE;;15/10/2024
80;H103;7039336;Desativado 03/2016;Medidor faturado pela UFSC;Joinville;Joinville;Setor 23;SubSetor 23.02;Joinville;Joinville;Desativado - R. João Vogelsanger, 181 - Joinville;Fatura Individual;A12G079417;Água e Esgoto;Sim;83.899.526/0001-82;ÁGUAS DE JOINVILLE;;15/10/2024
81;H104;7876009;Desativado 03/2018;Medidor faturado pela UFSC;Joinville;Joinville;Setor 23;SubSetor 23.04;Joinville;Joinville;Desativado - R. João Vogelsanger, 200  Joinville;Fatura Individual;;Água e Esgoto;Sim;83.899.526/0001-82;ÁGUAS DE JOINVILLE;;15/10/2024
82;H105;8686432;Desativado 03/2018;Medidor faturado pela UFSC;Joinville;Joinville;Setor 23;SubSetor 23.05;Joinville;Joinville;Desativado - R. João Colin (2)  Joinville;Fatura Individual;;Água e Esgoto;Sim;83.899.526/0001-82;ÁGUAS DE JOINVILLE;;15/10/2024
83;H106;14948508;Ativo;Medidor faturado pela UFSC;Araquari;CCA - Araquari - Barra do Sul;Setor 21;SubSetor 21.00;Araquari;CCA - Araquari - Barra do Sul;Fazenda UFSC/Yakult - Lab. de Camarões Marinhos;Fatura centralizada;B11C061116;Água;Não;83.899.526/0001-82;CASAN;17;15/10/2024
84;H107;2131650;Desativado 03/2018;Medidor faturado pela UFSC;Joinville;Joinville;Setor 23;SubSetor 23.06;Joinville;Joinville - João Colin;Desativado - R. João Colin, 2728  Joinville;Fatura Individual;;Água e Esgoto;Sim;83.899.526/0001-82;ÁGUAS DE JOINVILLE;0;15/10/2024
85;H108;;Ativo;Medidor faturado pela UFSC;Joinville;Joinville - Perini B. P.;Setor 23;SubSetor 23.00;Joinville;Joinville - Perini B. P.;Perini B. Park - Bloco U - RU LAV;Condomínio Perini;A15B040774;Água e Esgoto;Sim;SPA Interessado: Condomínio Perini Business Park;Condomínio Perini;58,65;15/10/2024
86;H109;;Ativo;Medidor faturado pela UFSC;Joinville;Joinville - Perini B. P.;Setor 23;SubSetor 23.00;Joinville;Joinville - Perini B. P.;Perini B. Park - Bloco O - O1;Condomínio Perini;F17B900021;Água e Esgoto;Sim;SPA Interessado: Condomínio Perini Business Park;Condomínio Perini;77,13;15/10/2024
87;H110;;Ativo;Medidor faturado pela UFSC;Joinville;Joinville - Perini B. P.;Setor 23;SubSetor 23.00;Joinville;Joinville - Perini B. P.;Perini B. Park - Bloco U - RU;Condomínio Perini;F17B900028;Água e Esgoto;Sim;SPA Interessado: Condomínio Perini Business Park;Condomínio Perini;112,01;15/10/2024
88;H111;;Ativo;Medidor faturado pela UFSC;Joinville;Joinville - Perini B. P.;Setor 23;SubSetor 23.00;Joinville;Joinville - Perini B. P.;Perini B. Park - Bloco U - U;Condomínio Perini;C16UB020205;Água e Esgoto;Sim;SPA Interessado: Condomínio Perini Business Park;Condomínio Perini;160,75;15/10/2024
89;H112;;Ativo;Medidor faturado pela UFSC;Joinville;Joinville - Perini B. P.;Setor 24;SubSetor 23.01;Joinville;Joinville - Perini B. P.;Perini B. Park - Tunel de Vento - LAB 01;Condomínio Perini;;Água e Esgoto;Sim;SPA Interessado: Condomínio Perini Business Park;Condomínio Perini;2,7;15/10/2024
90;H113;;Ativo;Medidor faturado pela UFSC;Joinville;Joinville - Perini B. P.;Setor 24;SubSetor 23.01;Joinville;Joinville - Perini B. P.;Perini B. Park - Bloco U - U LAB;Condomínio Perini;;Água e Esgoto;Sim;SPA Interessado: Condomínio Perini Business Park;Condomínio Perini;;15/10/2024
